	c0	c12754	c48349	c59580	c79005	c137162	c175786	c177173	c203548	c230418	c235437
t1_1	1	0	0	0	0	0	0	0	0	0	0
t1_2	1	0	0	0	0	0	0	0	0	0	0
t1_3	1	0	0	0	0	0	0	0	0	0	0
t1_4	1	0	0	0	0	0	0	0	0	0	0
t1_5	1	0	0	0	0	0	0	0	0	0	0
t1_6	1	0	0	0	0	0	0	0	0	0	0
t1_7	1	0	0	0	0	0	0	0	0	0	0
t1_8	1	0	0	0	0	0	0	0	0	0	0
t1_9	1	0	0	0	0	0	0	0	0	0	0
t1_10	1	0	0	0	0	0	0	0	0	0	0
t1_11	1	0	0	0	0	0	0	0	0	0	0
t1_12	1	0	0	0	0	0	0	0	0	0	0
t1_13	1	0	0	0	0	0	0	0	0	0	0
t1_14	1	0	0	0	0	0	0	0	0	0	0
t1_15	1	0	0	0	0	0	0	0	0	0	0
t1_16	1	0	0	0	0	0	0	0	0	0	0
t1_17	1	0	0	0	0	0	0	0	0	0	0
t1_18	1	0	0	0	0	0	0	0	0	0	0
t1_19	1	0	0	0	0	0	0	0	0	0	0
t1_20	1	0	0	0	0	0	0	0	0	0	0
t1_21	1	0	0	0	0	0	0	0	0	0	0
t1_22	1	0	0	0	0	0	0	0	0	0	0
t1_23	1	0	0	0	0	0	0	0	0	0	0
t1_24	1	0	0	0	0	0	0	0	0	0	0
t1_25	1	0	0	0	0	0	0	0	0	0	0
t1_26	1	0	0	0	0	0	0	0	0	0	0
t1_27	1	0	0	0	0	0	0	0	0	0	0
t1_28	1	0	0	0	0	0	0	0	0	0	0
t1_29	1	0	0	0	0	0	0	0	0	0	0
t1_30	1	0	0	0	0	0	0	0	0	0	0
t1_31	1	0	0	0	0	0	0	0	0	0	0
t1_32	1	0	0	0	0	0	0	0	0	0	0
t1_33	1	0	0	0	0	0	0	0	0	0	0
t1_34	1	0	0	0	0	0	0	0	0	0	0
t1_35	1	0	0	0	0	0	0	0	0	0	0
t1_36	1	0	0	0	0	0	0	0	0	0	0
t1_37	1	0	0	0	0	0	0	0	0	0	0
t1_38	1	0	0	0	0	0	0	0	0	0	0
t1_39	1	0	0	0	0	0	0	0	0	0	0
t1_40	1	0	0	0	0	0	0	0	0	0	0
t1_41	1	0	0	0	0	0	0	0	0	0	0
t1_42	1	0	0	0	0	0	0	0	0	0	0
t1_43	1	0	0	0	0	0	0	0	0	0	0
t1_44	1	0	0	0	0	0	0	0	0	0	0
t1_45	1	0	0	0	0	0	0	0	0	0	0
t1_46	1	0	0	0	0	0	0	0	0	0	0
t1_47	1	0	0	0	0	0	0	0	0	0	0
t1_48	1	0	0	0	0	0	0	0	0	0	0
t1_49	1	0	0	0	0	0	0	0	0	0	0
t1_50	1	0	0	0	0	0	0	0	0	0	0
t1_51	1	0	0	0	0	0	0	0	0	0	0
t1_52	1	0	0	0	0	0	0	0	0	0	0
t1_53	1	0	0	0	0	0	0	0	0	0	0
t1_54	1	0	0	0	0	0	0	0	0	0	0
t1_55	1	0	0	0	0	0	0	0	0	0	0
t1_56	1	0	0	0	0	0	0	0	0	0	0
t1_57	1	0	0	0	0	0	0	0	0	0	0
t1_58	1	0	0	0	0	0	0	0	0	0	0
t1_59	1	0	0	0	0	0	0	0	0	0	0
t1_60	1	0	0	0	0	0	0	0	0	0	0
t1_61	1	0	0	0	0	0	0	0	0	0	0
t1_62	1	0	0	0	0	0	0	0	0	0	0
t1_63	1	0	0	0	0	0	0	0	0	0	0
t1_64	1	0	0	0	0	0	0	0	0	0	0
